#-----------------------------------------------------------------------------
# Date d'extraction : 13/03/2024 - 14h20 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : CCLM4-8-17_MPI-ESM
# Scenario :
#     GWL20 : Niveau de réchauffement Monde 2.0 degrés -> 2050 / France +2.7°C
#-----------------------------------------------------------------------------
# Période extraite : 20 ans autour de l'année pivot 
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     RR_yr : Cumul de précipitations annuelles (mm)
#     RR_seas_JJA : Cumul de précipitations en été (mm)
#     RR_seas_DJF : Cumul de précipitations en hiver (mm)
#     RRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     Rx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     RRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     ECARTRRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     ECARTRELRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ECARTRELRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ECARTRELRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ECARTRELRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ECARTRELRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Annee;RR_yr;RR_seas_JJA;RR_seas_DJF;RRq99_yr;Rx1d_yr;RRq99refD_yr;ECARTRRq99refD_yr;ECARTRELRR_yr;ECARTRELRR_seas_JJA;ECARTRELRR_seas_DJF;ECARTRELRRq99_yr;ECARTRELRx1d_yr;
#-----------------------------------------------------------------------------
12232;47.6681;3.3485;GWL20;2052;700.47;133.94;209.76;16.23;43.91;2;-1.6;-0.12;-0.28;-0.01;-0.16;0.15;
12232;47.6681;3.3485;GWL20;2053;789.01;56.39;232.96;14.91;28.23;3;-0.6;-0.01;-0.7;0.1;-0.23;-0.26;
12232;47.6681;3.3485;GWL20;2054;849.37;128.15;237.86;22.81;37.55;7;3.4;0.07;-0.31;0.12;0.17;-0.01;
12232;47.6681;3.3485;GWL20;2055;1095.42;203.51;337.95;31.71;49.01;9;5.4;0.38;0.1;0.59;0.63;0.29;
12232;47.6681;3.3485;GWL20;2056;794.91;89.45;389.88;16.4;28.39;2;-1.6;0;-0.52;0.84;-0.16;-0.25;
12232;47.6681;3.3485;GWL20;2057;648.23;213.44;219.14;18.57;34.51;3;-0.6;-0.19;0.15;0.03;-0.04;-0.09;
12232;47.6681;3.3485;GWL20;2058;901.4;257.73;220.55;26.64;59.33;7;3.4;0.13;0.39;0.04;0.37;0.56;
12232;47.6681;3.3485;GWL20;2059;672.47;124.84;243.51;18.59;23.96;3;-0.6;-0.16;-0.33;0.15;-0.04;-0.37;
12232;47.6681;3.3485;GWL20;2060;866.5;241.76;226.29;28.73;51.2;10;6.4;0.09;0.31;0.07;0.48;0.35;
12232;47.6681;3.3485;GWL20;2061;896.4;191.25;194.44;22.81;32.75;5;1.4;0.13;0.03;-0.08;0.17;-0.14;
12232;47.6681;3.3485;GWL20;2062;846.39;158.92;354.76;21.51;44.02;4;0.4;0.06;-0.14;0.67;0.11;0.16;
12232;47.6681;3.3485;GWL20;2063;889.92;101.46;339.88;26.49;44.34;6;2.4;0.12;-0.45;0.6;0.36;0.17;
12232;47.6681;3.3485;GWL20;2064;726.68;159.61;367.64;17.09;37.25;2;-1.6;-0.09;-0.14;0.73;-0.12;-0.02;
12232;47.6681;3.3485;GWL20;2065;725.27;161.52;182.19;20.96;25.7;4;0.4;-0.09;-0.13;-0.14;0.08;-0.32;
12232;47.6681;3.3485;GWL20;2066;787.21;223.16;201.81;33.46;55.08;5;1.4;-0.01;0.21;-0.05;0.72;0.45;
12232;47.6681;3.3485;GWL20;2067;646.04;167.83;115.68;21.03;27;5;1.4;-0.19;-0.09;-0.46;0.08;-0.29;
12232;47.6681;3.3485;GWL20;2068;1288.69;436.51;353.12;31.28;107.66;10;6.4;0.62;1.36;0.66;0.61;1.83;
12232;47.6681;3.3485;GWL20;2069;887.89;146.4;305.47;21.34;25.25;6;2.4;0.11;-0.21;0.44;0.1;-0.34;
12232;47.6681;3.3485;GWL20;2070;597.28;134.89;302.05;18.34;44.79;3;-0.6;-0.25;-0.27;0.42;-0.06;0.18;
12232;47.6681;3.3485;GWL20;2071;835.9;119.93;159.46;21.88;43.88;5;1.4;0.05;-0.35;-0.25;0.13;0.15;
12374;47.7409;3.2432;GWL20;2052;665.67;110.38;209.58;17.49;47.31;1;-2.7;-0.15;-0.39;0;-0.11;0.51;
12374;47.7409;3.2432;GWL20;2053;805.13;46.96;218.59;20.24;25.13;5;1.3;0.03;-0.74;0.05;0.02;-0.2;
12374;47.7409;3.2432;GWL20;2054;814.23;107.33;247.07;22.19;33.78;7;3.3;0.04;-0.41;0.18;0.12;0.08;
12374;47.7409;3.2432;GWL20;2055;1059.68;186.76;344.67;29.67;74.28;8;4.3;0.35;0.03;0.65;0.5;1.38;
12374;47.7409;3.2432;GWL20;2056;776.52;93.65;378.41;16.41;24.26;3;-0.7;-0.01;-0.48;0.81;-0.17;-0.22;
12374;47.7409;3.2432;GWL20;2057;686.11;187.98;222.83;21.93;26.9;5;1.3;-0.12;0.04;0.07;0.11;-0.14;
12374;47.7409;3.2432;GWL20;2058;839.36;208.03;219.85;21.97;31.99;4;0.3;0.07;0.15;0.05;0.11;0.02;
12374;47.7409;3.2432;GWL20;2059;661.19;112.26;252.05;20.18;23.61;4;0.3;-0.16;-0.38;0.21;0.02;-0.24;
12374;47.7409;3.2432;GWL20;2060;769.44;177.34;232.75;24.78;36.18;8;4.3;-0.02;-0.02;0.11;0.25;0.16;
12374;47.7409;3.2432;GWL20;2061;986.83;230.03;201.72;29.45;53.74;8;4.3;0.26;0.27;-0.03;0.49;0.72;
12374;47.7409;3.2432;GWL20;2062;862.21;161.94;371.35;21.01;41.87;6;2.3;0.1;-0.11;0.78;0.06;0.34;
12374;47.7409;3.2432;GWL20;2063;892.64;111.59;340.91;27.76;43.57;8;4.3;0.14;-0.38;0.63;0.41;0.39;
12374;47.7409;3.2432;GWL20;2064;711.24;146.48;353.38;18.09;26.22;2;-1.7;-0.09;-0.19;0.69;-0.08;-0.16;
12374;47.7409;3.2432;GWL20;2065;786.61;167.34;176.63;18.53;71.01;3;-0.7;0.01;-0.08;-0.15;-0.06;1.27;
12374;47.7409;3.2432;GWL20;2066;770.13;192.05;206.11;32.49;75.69;6;2.3;-0.02;0.06;-0.01;0.65;1.42;
12374;47.7409;3.2432;GWL20;2067;610.19;141.08;107.73;18.98;27.25;3;-0.7;-0.22;-0.22;-0.48;-0.04;-0.13;
12374;47.7409;3.2432;GWL20;2068;1227.88;391.28;335.84;26.4;60.13;10;6.3;0.57;1.16;0.61;0.34;0.92;
